DATE,AMOUNT,CLASS
,,
,,
,,
,,
,,
5 Mar 2024,51.95,CHAOS
28 Mar,108.8,INCO
28 Mar,86.4,INCO
24 Mar 2024,117.6,INCO
22 Mar 2024,43.2,INCO
21 Mar 2024,86.4,INCO
31 Mar 2024,17.5,GROCERY
31 Mar 2024,40,EDU
,,
29 Mar 2024,1,GROCERY
30 Mar 2024,20,INCO
30 Mar 2024,9,FUN
29 Mar 2024,46,INCO
29 Mar 2024,135,INCO
29 Mar 2024,46,INCO
28 Mar 2024,30,INCO
28 Mar 2024,25,INCO
28 Mar 2024,46,INCO
23 Mar 2024,17,FUN
26 Mar 2024,1,FUN
26 Mar 2024,1,GROCERY
26 Mar 2024,2,INTERNET
26 Mar 2024,55.44,INTERNET
26 Mar 2024,5.8,TRANS
26 Mar 2024,96.53,FUN
26 Mar 2024,46,INCO
25 Mar 2024,15.97,GROCERY
25 Mar 2024,46,INCO
24 Mar 2024,20,INCO
22 Mar 2024,43.2,INCO
21 Mar 2024,86.4,INCO
24 Mar 2024,46,INCO
24 Mar 2024,23,INCO
23 Mar 2024,92,INCO
19 Mar 2024,43.2,INCO
17 Mar 2024,117.6,INCO
22 Mar 2024,69,INCO
22 Mar 2024,5.8,TRANS
22 Mar 2024,10,GROCERY
22 Mar 2024,19.51,FUN
21 Mar 2024,81,INCO
21 Mar 2024,90,INCO
21 Mar 2024,2.9,CHAOS
21 Mar 2024,5.8,FUN
21 Mar 2024,25.8,FUN
21 Mar 2024,108.86,EDU
20 Mar 2024,15.21,FUN
,,
19 Mar 2024,43.33,EDU
19 Mar 2024,30,INCO
18 Mar 2024,20,FUN
18 Mar 2024,9.03,FUN
18 Mar 2024,250,INCO
18 Mar 2024,23,INCO
17 Mar 2024,160,INCO
17 Mar 2024,69.97,GROCERY
17 Mar 2024,60,FUN
16 Mar 2024,23,INCO
15 Mar 2024,54,INCO
15 Mar 2024,23,INCO
14 Mar 2024,13.28,FUN
13 Mar 2024,60,INCO
13 Mar 2024,11.3,EDU
12 Mar 2024,23,INCO
12 Mar 2024,51.84,CHAOS
10 Mar 2024,117.6,INCO
4 Mar 2024,21.6,INCO
12 Mar 2024,23,INCO
11 Mar 2024,24,FUN
11 Mar 2024,70,TRANS
11 Mar 2024,23,INCO
10 Mar 2024,425,INCO
10 Mar 2024,23,INCO
08 Mar 2024,23,INCO
08 Mar 2024,135,INCO
08 Mar 2024,108,INCO
08 Mar 2024,46,INCO
07 Mar 2024,17.18,GROCERY
06 Mar 2024,4.34,CHAOS
04 Mar 2024,16.52,FUN
05 Mar 2024,15.98,CHAOS
06 Mar 2024,6.93,FUN
05 Mar 2024,178.41,GROCERY
05 Mar 2024,23,INCO
05 Mar 2024,10,FUN
04 Mar 2024,50,INCO
04 Mar 2024,23,INCO
02 Mar 2024,6.47,GROCERY
02 Mar 2024,56,FUN
02 Mar 2024,5.8,FUN
01 Mar 2024,23,INCO
01 Mar 2024,23,INCO
01 Mar 2024,31.81,FUN